text,label
But why does Mr Ross always look sad ? ,sadness
Before an examination: I had the fealing that I had not learned enough.,fear
"The trick was really intolerable.  They hid it, and I was worried and restless all day.  When I saw them I really wanted to slap each one of them.",anger
"It joined me for the rest of the holiday , much to the annoyance of my fellow passengers . ",anger
 Why not ? ,neutral
" I know , it's not as I had planned . ",sadness
 Tony Bush . ,neutral
Freeze ! ,neutral
 Visa . ,neutral
You didn't ring me last night.You said you would . ,anger
 What for ? ,neutral
 I won ’ t damage it . ,neutral
" Oh . I enjoy watching boxing on television , too.What a pity I missed it last night ! ",sadness
I shared a secret with a friend and it later turned out that he had revealed it to another person with whom I didn't get along very well.,anger
"When I realized the burden it was for my mother to look after all of us, all by herself.",sadness
 Why ? ,neutral
 Chicken ! ,neutral
When my friend (girl) went abroad for two years.,sadness
I received money from my father at a time when I was completely broken.,joy
My friend not allowed to go to the English lectures.,sadness
" Ar ! Dad , the power went out . ",fear
 Engaged ? ,neutral
Yesterday when I received a B on a history midterm. I felt overjoyed after having received C's previously.,joy
 No . ,neutral
 OK . ,neutral
One of my good friends had to migrate to America.  Our friendship had developed quite well and it was a pity as our friendship would fade.,sadness
"I thought that I would be scolded for a comment I had made, which I should not have made.",fear
Made a statement that other people did not believe.,anger
 I heard it ’ s a very good movie . ,joy
` His gratification was almost unbounded when on arriving at the Belts of the Murray he found not only numerous new Species but new forms of Birds . ,joy
When a colleague was rude with me because she didn't understand the subject about which I was discussing.,anger
 Yeah . My whole GPA is screwed up now . ,sadness
Anne was sad at the death of the Misses Dolan but too much was happening for her to dwell on it . ,sadness
 excellent ! That sounds like a plan . ,joy
"The day I was nearly stabbed to death by ruffians who wanted to take my money.  I refused to give them any money and they started running after me, I ran into somebody else's house to save myself.",fear
When I was caught in an elevator and it got stuck between floors.,fear
 it must be very demanding . ,neutral
" You must have been prepared for a long time . Some statistics in this presentation are not easy to find , right ? ",joy
" Oh , I just can't forget it . ",sadness
" Woo , easy . ",neutral
Mr Carruthers said that the vast majority of evidence was over but acknowledged he was concerned that Mr McTear would not be able to conclude his testimony . ,fear
 Rather . I'm afraid I didn't do very well . ,sadness
"` I am practical , "" Jessamy insisted with some annoyance . ",anger
 I don't think you really want to hear about it . ,sadness
 You ought to have worked harder then you wouldn ’ t have failed your exams . You have to take a job and study . ,anger
 A B plus . ,neutral
 Why not ? ,neutral
You're late . ,neutral
 No problem . ,neutral
" Maybe so , but do you have any idea how much this one is worth ? ",joy
"Lo ga takut untuk mencintai, yang lo takutin adalah tidak dicintai balik.  ",fear
I was sad when I saw that a beautiful girl was not attainable.,sadness
"As Christmas approached , the excitement of preparation began to get through to her . ",joy
Time flies ! ,neutral
A certain night during initiation. ,fear
 Oh ! That's much hetter than I did . ,joy
Yanto realised to his horror he was now the nearest man to the exit bar . ,fear
I passed an exam which I thought I had failed.,joy
When the coach of our team degraded me to the second team.,anger
What this implies and should express is the field-worker 's moral commitment to his foreign hosts ; this can be the source of much personal anguish and heart-searching . ,sadness
When planning to marry.,joy
A certain friend tried to push me off a seat in a very violent way for no apparent reason.  It may be that he was excited about something.,anger
When my mother had a nervous illness.,fear
A friend gave me a lift and we met a road-block.  He tried  to turn back when an officer shouted at us to stop.  My friend took a turn suddenly and the officer raised his gun but by the time we were gone.,fear
"` I 'm delighted they left you the house , "" Julia told Margaret . ",joy
"After watching the 49ers lose game after game, year after year, I was finally rewarded with a Super Bowl victory which made me extremely happy.",joy
 What are you so excited about ? ,neutral
" Linda , thank you for this wonderful Christmas dinner . I really enjoyed it . ",joy
 What ? ,neutral
 Yes . Why ? ,neutral
Finding out that I can go to your English lectures.,joy
 Both . ,neutral
 One letter can have several pronunciations and one word can have several meanings . ,neutral
 Be careful . ,neutral
My girlfriend gave me some feed-back and I understood that it meant that our relationship was about to turn even closer.,joy
 Don ’ t do this ! Don ’ t do that ! You mustn ’ t do this ! You can ’ t do that ! ,anger
"I \cooked\"" the engine in my father's car - it was actually his fault because he hadn't fixed the temperature gauge or told me. When I finally got home I was absolutely screamed at and the anger I experienced was over the injustice of it all plus the huge row which developed.""",anger
 Me too . Please write to me as soon as you get Boston . ,joy
"Not so , according to elated opponents of nuclear power . ",joy
When I was offered a place in the university as a full time student.,joy
When my beloved girlfriend got married to another person.,sadness
 We hope so . ,neutral
 Thank you . ,neutral
" No , I'm a tourist . This place is amazing ! It's much bigger than I imagined , and much more exciting ! There's so much to see here . ",neutral
"For the Opposition , Sam Galbraith said he was particularly angry that the Government was reneging on the ballot subsidy . ",anger
"When my mother and father split up I was angry: I felt deprived and \different\"" from other children at school.""",anger
"Don't believe the lies look me In the eyes, please don't be scared of me ",fear
My boy-friend had promised me to come home at about 10 p.m. He did not return until midnight and had consumed a lot of alcohol.,anger
"When a friend told me that my education had nothing to do with our discussion.  This friend has failed the 7th grade, what made me angry was that I had not used my education to argue.",anger
 I drink a lot of wine . ,sadness
 Of course I should have ! You certainly deserve them ! You put up with all of us . ,joy
"However , in 1878 , deaf education in Greenock faced a crisis because there was no-one able to continue to teach the children , and one parent was not happy about his child being taught in sign language . ",joy
" Yeah , I was really struggling whether I should give you this nice little car . It was the last one they had and I really like it so much myself . ",joy
" Thank you , I will . Hope to see you again next year . ",joy
When I had to talk with an important person about a job.,fear
 OK ! ,neutral
At primary school I was accused by some boys of being in love with a certain girl in their class so they had to shout and beat the girl and the matter was reported to the headmaster.,fear
" Really , because spicy food is my favorite . ",sadness
" And if we don't need them , we won't need Zina , either . ",neutral
When I part with my friends I feel always sad for some time. I can't remember a concrete example now. For example I have just parted with a friend of mine and I am feeling sad.,sadness
 I am very grateful for your advice . ,anger
"She missed him , and missed the companionable secrecy of their relationship , but she was not miserable about it . ",sadness
I wish i could get the lyrics to by @Drake tattoo'd on my body. But that'd be one big ass tattoo,fear
"When I was in Form 4, at Secondary School, I was elected as a school Library Assistant and also the leader of Catholic Students, so I felt very joyous.",joy
Hello ? ,neutral
You're late . ,neutral
"I felt glad to live again when I went to a meeting about the \Knowledge\"". There are 4 techniques of meditation that connect you with the essence of the human being.""",joy
I was a little concerned that you put so much emphasis on return to work . ,fear
" Don't get smart with me . Here , do it again , but do it right this time . ",anger
Hahaha just got a shot at the doctors and was the nurse was about to kill me because I was freaking out so much ,fear
"But , determined that he shouldn't have the satisfaction of seeing her vexation , she said drily , ` Don't mention it ; I 'm only glad it wasn't rush-hour . "" ",anger
" Yes , next March . ",joy
"Don't believe the lies, look me in the eyes- please don't be scared of me ",fear
 Yes . ,neutral
 Yes and no . ,neutral
"When I left all my friends at school (break up) knowing we would probably all go our separate ways, and none see one another for a long time.",sadness
Hello . ,neutral
"After some friends had come to see me. They had stayed for several days and we had got on very well. When they had left, I had a feeling of emptyness.",sadness
My first public appearance in front of a rathe big audience.,fear
My husband still feels very cross . ,anger
" Yes , I think you ’ re right . I ’ m thinking about having a child , but not just yet . ",joy
Saying goodbye at the airport to my boyfriend who has to go to school back East. We are very close and have been together 4 years.,sadness
 I think you can go to visit the museum . It's worth seeing . You can go to the square some other time . ,joy
"He paused before stepping out onto the roof , a look of horror on his face . ",fear
When I received the news that my in-laws had passed away.  I depended heavily on them for their guidance and the running of their daughter's buisness.,sadness
" Please explain because it makes no sense to me . How can a girl ’ s routine be so complicated ? You get up , you shower , you get dressed , you brush your teeth , you ’ re out the door . Half an hour , tops . ",anger
"There were amused smiles , but they did not know at all why Alain had done that . ",joy
"On my second plane trip, we ran into unexpected turbulence.",fear
 I'm standing in front of an exquisite work of art ! ,joy
 It ’ s true . Michelle is a lot like Henry in so many ways . And she is shy with new people just like he is . ,neutral
"JOHN SMITH , understandably , is boiling with anger at the Tory refusal to recall Parliament . ",anger
"Francis was not totally disconsolate and added : ` The way our fans came behind us is the best I 've ever heard it here , and I hope it continues . ",sadness
 You're lucky ! ,joy
After making an effort to enter at University I found a course and a school of higher education which were compatible with my experience and potentiality.,joy
 Look behind us at the mountains ! They're reflecting pink ! ,joy
"I felt quite depressed about it . "" ",sadness
 You're welcome . Did you have a good time on this vacation ? ,joy
 I hope so . ,neutral
I'm so angry at Bob for buying a new bike . ,anger
 Feed them ? ,neutral
When my grandfather died.,sadness
 Is it ? ,neutral
I share my small flat with my friend. On her birthday we could not see each other until evening because we had to stay at the University all day. In the evening I left a lecture before it finished to be able to buy flowers for her. When I was at home she called me to tell me that she would stay the night with her boyfriend.,anger
 I hope so . ,neutral
"My child, unexpectedly started acting in a restless and disturbing way at school.  In addition his performance at school weakened.",sadness
I suddenly found that those whom I considered to be my good friends did not care for me.  Although I could still be with them I felt unimportant.  I deeply thought about the reason behind this so as to see who was responsible for this.  Finally I made up my mind and decided not to expect too much from them.  I was sad when I decided that they were no longer my good friends.,sadness
City fans are still livid over the clash with Bull that led to skipper Steve Walsh 's sending off in the 3-0 defeat at Molineux three weeks ago . ,anger
Talking with a nice girl.,joy
" Congratulations , I hope everything works out . ",joy
"I suffered from a gynaecological illness. I was quite displeased to hear that my roommates had talked about it and they had misrepresented the truth. I felt deeply hurt when I learned that it was done by a \good\"" acquaintance of mine.""",anger
 Really ? ,neutral
"@DaveWright70 @rmmanson @GabBurnsSmith @fraudsterboosh bob, would not like to be on your head come Saturday morning ! ",fear
When  fell in love with my present girlfriend.,joy
" Well , I do feel quite down because I am going to miss Japan after being here for 9 months , in Japan . I am going to miss it so much , cause I've had a great time here . ",sadness
Some grandparents have the sadness of losing rather than gaining grandchildren . ,sadness
"My friend had organized a birthday party for me secretly, I was very happy not so much for the presents but because they seemed to care for me.",joy
"When I began dansing, the teacher came and told me that I was very good and would soon get into the ballet academy. ",joy
 That ’ s fine . ,neutral
" Well , on Saturday I cleaned the house and played tennis . Then on Sunday I hiked in the country . ",neutral
"I was informed by my flatmate that, when we'd moved into our flat, she'd expected us to buy our food separetely - this event actually happened some 5 months after our sharing began. Prior to this, she had said nothing.",anger
 Yes.My face even ached in the icy wind . ,neutral
" Oh , hi ! I'm Barbara Johnson . Nice to meet you . ",joy
" Sorry , I dialed the wrong number . ",sadness
"That afternoon I received two messages informing me, one that my brother was in a coma in the U.T.H suffering (kidney disease) and two, that my uncle met with an accident on his way to the hospital  to see my brother.",sadness
 I Believe I will . Look for me near the lake . ,neutral
"I had stayed for months without seeing mother because our holidays were short and my home is far. Some times, mother came to see me at school, I was very joyful, and I didn't want her to go.",joy
After you . ,neutral
 Weight ? ,neutral
"Emily , what kind of report is this ? ",anger
To her annoyance a warm blush was steadily creeping into her cheeks . ,anger
"Physical violence. A friend wouldn't listen to me I repeatedly tried to warn him, to no avail. Result: eight people were \pissed off\"".""",anger
Once I had to go home on foot at 5 a.m. I had to pass through a forest and I was going alone.,fear
 Leave me alone ! ,anger
"I know I'm a blabbermouth , but what do you think she should do , John ? ",anger
He had seen beyond the excitement of being approached for his first book ; he already visualised it on the bookshelves ! ,joy
A close friend of mine was to get married in a weeks time when her father died of a heart-attack.  I knew him well and felt bad on hearing of his death.,sadness
I was approaching my exam time and my books got stolen.  I was in a panic as I thought that I would not do well enough to be considered for the economics quota.  I cried a lot but that did not help and as the exam day came near a strange fear gripped me.,fear
 How come ? ,neutral
"One day a fierce looking man came to our house  and said that my father should apologize to him, however I was alone at home.",fear
My father died unexpectedly at the age of 53 years. He certainly would have liked to live longer. I was also said because I was confronted with the fact that I would die one day too.,sadness
"When I left after the examination to enter the University, and even though I had studied the whole year I made a bad exam. ",anger
They all seem terribly sad . ,sadness
Someone who was speeding was forced to slow down when I pulled out onto the road and proceeded to abuse me at the next set of traffic lights.,anger
Getting the top price in the football pools.,joy
"2)March 2009,the market said : the opportunity was there,but COURAGE was missing. The factor was too strong",fear
Night tweeps!! If you think the worst is over... wait for the exam results.. #Exams #AHSJuniorsExams,fear
Staying alone in a dark place.,fear
Some colleagues decided to go out on a Saturday not inviting me to decide either the place nor the time.,sadness
 Good idea . Can I bring some music from that period too ? ,joy
 Was he upset when you told him you had to leave this weekend ? ,neutral
 Yes . ,neutral
 All right ,neutral
When I saw that I had passed an exam.  It was the last chance and there was a lot at stake.,joy
"Day before yesterday my mother bought me a new pair of shoes, without my having asked for them.  She told me that when she saw the pair of shoes she felt like buying them for me.  I really liked the shoes and they made me feel that my mother cares for me.",joy
 Thanks . ,neutral
Uh-oh . I'm in trouble . ,sadness
 I can't believe they would play so good . ,joy
When my affairs with the girl I love settled positively.,joy
"` They take young grandpas , "" said Linda , amazed and overjoyed he 'd had the idea for himself and still not able to get over her daughter 's news . ",joy
 Really ? ,neutral
 No problem . ,neutral
I'm glad when I have good relations with my colleagues and most of all when we are at a party.,joy
"I was in a restaurant with my boyfriend when I saw my best female friend after not seeing her for two weeks.  We rejoyced, hugged and had a long talk.",joy
"And I 'm really excited about it and there 's lots of interest , I think this places are taken up already . ",joy
   Infiltration in our lives. The illusion of so we accept their political Solutions.,fear
When I got my drivers licence.,joy
" oh , steve . Stop it ! I am a bit nervous ! What if he doesn't call ? ",neutral
Harry was a little worried to see the water supply diminishing so rapidly but was pleased that Lucy was enjoying herself . ,fear
When a close friend died.,sadness
"When  first came to CAL I went to a rally on Sproul and I later learned that the rally was conducted by the Moonie cult. They were taking pictures at the rally, so I was afraid that they would circulate the pictures and then kidnap people. I did not know how the cult worked. I was scared.",fear
"When I realized that we are living on borrowed time, and that the nuclear holocaust appears to come closer every day.",fear
"At an undeserved attitude toward a man, when human personality is not treated decently.",anger
What's new ? ,neutral
I do not recall being scared in the near past.,fear
" Well , you certainly match those criteria , but they ’ re so broad they could apply to anyone . What does it say about me ? ",neutral
"After a busy day I went back to my hostel.  I closed the door and had a drink, then I read my favourite book on the bed.  Suddenly I felt peace and joy.",joy
When I found out that my sister had been playing with my confidential things which she had taken from my hand-bag.,anger
When my cousin passed away during the holidays at home.  He fell ill at night and the next day he died in the evening.,sadness
"I had a quarrel with my father, because I was of the opinion that he decided in an authoritarian way which TV program we should watch. I became very angry and started throwing things through the room.",anger
"My brother had bowel obstruction, having heard that he was going for surgery, I was afraid he might not come back to life after hearing of the General Anaesthesia.",fear
I am having a hard time at my job . ,sadness
" Because I feel tired all the time , even when I wake up in the morning . I find it very difficult to do any work . I have no appetite . ",sadness
 What ? ,neutral
Not walkin up stairs because you're afraid to trip going up.. ,fear
A boy I had been admiring so much asked me to go out with him.,joy
When I was selected at TISS X.,joy
I'm so angry . I feel like killing someone . ,anger
@AaronCurry51  tells us that we've sacrificed more than others. tells us it's time 2 worry about the future. &#xA;&#xA;Luke 9:3,fear
George drove past and felt a terrible anger replace his elation . ,joy
@inrepose Could you give me url for live stream? ,fear
"He shook his head , exasperated and cynical . ",anger
"The night before my wife had given birth to our twins. I felt fear in the hospital yard, I feared if everything was going to be in order.",fear
" I'd be delighted to , John . Saturday did you say ? ",joy
"She was interrupted by another hoarse , gleeful chuckle . ",joy
 Could you move smoothly ? ,neutral
"He was gleeful about the idea of a Faber ` Vaudeville "" production in 1929 where he starred as a baritone singing Bolovian Ballads and a song about a blue baboon . ",joy
"When I was about to be bitten by my friend's dog, later on it bit me.",fear
 Oh . ,neutral
Finding out my best friend cannot go to the English lectures.,sadness
When I failed one of my courses at school - the university of Zambia.,sadness
 OK . ,neutral
"A whole crowd of us went to a folklore festival. The instructor of the cast where my boyfriend played was traveling with us. We decided to catch the train that leaved early in the morning because we had business on the following day. The instructor tried to get the upper hand and made us catch the train in spite of everything, all the time he made me angry.",anger
My best friend was not chosen for the English lectures.,sadness
getting high to balance out the lows . don't be scared of me ,fear
" Yes , you have many opportunities to grow in this company as long as you do well . ",joy
 What is it ? ,neutral
"At the funeral of a friend about 20 years old, who was killed in a hit-and-run motorcycle accident.",sadness
"She cackled , delighted with the queasy mixture on the plate , hot brown coffee lapping at the pale wedge of sugared pastry . ",joy
"look, if we can't make the occasional crass sexual joke about serious protests, the terrorists have already won. ",fear
"My guinea-pig had been ill for a couple of days.  One evening, when I came home I enquired as to how it was doing.  My mother's expression told me that it had died.  My knees refused to support me and I began to weep convulsively.",sadness
There is nothing new in the experts spreading unwarranted alarm and despondency . ,sadness
" Oh , don ’ t talk to me about last night ! It was the most awful evening I ’ Ve ever had . ",anger
"I feel dreadful, though not as dreadful as my married colleague who spent the evening rubbing the crotches of men in the office.  ",fear
"The veterans have become increasingly alarmed at the incidence of illness -- especially cancers amongst the 20,000 who were present at the tests . ",fear
" Well , you guys worked hard for it . It's really beautiful . ",anger
"When I was 9 years old, I got a cat, but after 3 days he died. I was very sad, because I had nursed him and taken him to the veterinary's - but in vain. Although I had had him only for a short time I had liked him very much.",sadness
Advertisers said they were delighted to see many of their proposals reflected in the Government 's approach . ,joy
"But Matta was gazing at him , and his grin was wider , more gleeful . ",joy
I love that... I love today ,fear
"During the Christmas holidays, I met some of my old friends, after not having seen them for six months.",joy
"One evening, in the tramway, I was afraid of two drunk men molesting my girlfriend and me.",fear
" Yes , I know , sir . I'm sorry . ",sadness
"This summer I got into a fight with one of our patrons (at a theatre). He hit me and I hit him and her friend, he hit my friend and we all hit eachother.",anger
Seb reached Burford in a state of high excitement only to find that Superintending Constable Aplin was in London . ,joy
" You just can ’ t imagine ! I waited for the first bus but it was too full , so I waited for the second , and it was still very crowded . Then I decided not to wait for the next one , and got on the second bus . It was so full that I had to stand on one foot ! No kidding ! ",anger
Benjamin nodded and stared where an ostler was trying to calm an excited horse . ,joy
During a football game I made an offence towards an acquaintance. Later on this acquaintance also tackeled me and the game became very rude.,fear
" I ’ m sorry , Mr . Baker ’ s not in . May I take your message ? ",sadness
 You ’ re right . I would have to travel to the city at least once a week to go shopping and see friends . I would hate living in the country ! ,joy
I felt angry when I was told that I had not been selected to go to the University.,anger
"Sitting at FSU, just chilling with friends. Still waiting to get acceptance letters from the colleges I applied too.  ",fear
When my first love was not successful.,sadness
"One evening when my sisters, brothers and I were watching T.V my kid brother took a big mirror and reflected light on the french windows.  I thought that these lights that we could see were coming from torches annd that it meant that there were thieves outside.",fear
I think they call this... um... Venting ,fear
He turned to see four alarmed faces and the atmosphere was thick with unanswered questions as he walked out . ,fear
"This sucks . I hate buying lingerie . Okay , just find something and get out of here . Alright , these are fine . Oh , no , don ’ t come over here , don ’ t come over here . ",anger
"Crip Walk-Off?  RT @Christinerphant ECS Pre-party, I'm nervous for my digestive organs. @LoAlex2, @starallo, @jmayshar",fear
Before Christmas I got to know a girl but our relationship could not consolidate before the holiday. Therefore it was a big surprise to get a carefully hand-made present from her. - Our relationship grew closer.,joy
Aggie looked horrified as she caught sight of the horse dung on his hobnailed boots . ,fear
So the company decided to cancel your trip to Hong Kong ? ,neutral
When my mother and father separated (it was a brief separation and they are together now).,sadness
 Exactly . ,neutral
"The children were watching TV peacefully , but Annie saw her as she bobbed her head around the door , gave a pleased gurgle and started to scramble down . ",joy
"It was at the time of my M.Sc exam, when I was not in a position to take the exam after having studied seriously.",sadness
 Tell me ! Tell me ! What's your secret ? ! ,neutral
"When I watched the T.V programme called \The living planet\"" and saw the far reaching environmental destruction caused by man.""",sadness
 I would think this was the least they could do . ,neutral
 I hope that it is not a formal one when the boss is there . ,neutral
" I hate to tell you this , but it seems that every shred of evidence that would help us to convict were destroyed in a laboratory fire . There's nothing left . I'm so sorry ... ",sadness
The death of my guardian with whom I had stayed when I did my grade six.,sadness
 do you have a copy of your family tree in your house ? I ’ d love to see it . ,neutral
 Thank you . So what do you think ? Would we have a good time ? ,joy
"You 're pleased about his engagement -- he told me that some time ago -- and you 've as good as admitted it tonight . "" ",joy
The organisation is glum about the social consequences for Europe . ,sadness
The birth of my child.,joy
 I was running around the track at my college and there she was walking around the same track . ,neutral
 See you . ,neutral
"When my mother threatened me with thrushing me of the stairs, when I once more should make a comment.",fear
 See you . ,neutral
 That ’ s fantastic . Thank you . ,joy
Once a friend had pushed me and I had fallen on to a window which then broke.  I was taken to tthe principal's office and he accused me of having broken the window.,anger
"Losing my girlfriend who made an end to our relationship. By this I lost an important source of support, certainty and joyful moments. I cried very intensly when that happened.",sadness
So as to be closer to the university I have left home and moved into Auckland. It now seems as if I have left home - especially my family - forever.,sadness
"A meeting with the family and the friends I felt dear and loved, sharing the gladness of being together at a birthday.",joy
" I've told him how to do that several times , but he's never listened to me . ",anger
"While watching TV (a war movie), I felt a strong fear of death, threat and fear of loosing people close to me.",fear
 never . ,neutral
 Didn't I ? ,neutral
 I do.We haven't watered them for quite a few days . ,neutral
"One of my fellow students had bunked field work and in my attempt to cover up for him I myself was exposed, though not directly.  We were to meet our field work supervisor and we were afraid of the consequences.",fear
" Sorry , I don't smoke . ",neutral
Whenever I read or think about the way people treat animals and nature.,sadness
Yet she still finds herself full of frustration and anger towards him . ,anger
Lady Cross 's family was too grief-stricken to attend the trial . ,sadness
A horse which I had liked very much was taken away.,sadness
Not getting a job.,sadness
My boyfriend made me a proposal.,joy
