text,label
  I`m sorry. This is all so sad.,negative
Located & ordered a new cooker today. Feel I`ve got a real bargain from http://www.laskys.com  ï¿½80 cheaper than the place I almost used.,positive
I`m still here! I just changed my avatar,neutral
 what happened?,neutral
"sandwichesss, then work",neutral
 I miss you too.  We`ll have to get together once everything settles down in a few weeks.  Congrats on the house!,positive
Talked with mom. Al sang a song for me again  am off to sleep now..,neutral
 http://twitpic.com/4w8ja - **** Felicia is freakin cute,positive
awww the wee gril in britains got talent,positive
 I don`t know how to use this,neutral
I wish the sun would shine. but it won`t,negative
"Come on all you lovely fans Number 14 in the Local pop Charts  Let launch an assault on the number 1 slot!!! www,reverbnation.com/suki ...",positive
  true. i think its important 2 be sensitive 2 it when we relate 2 others. empathy. a reminder we cant judge a book by a cover,positive
" I found it, I added it, but it`s still blocked!",neutral
 You`re in Miami right? I don`t see a hand delivery in your near future unfortunately,negative
need a camera blower.. my camera censor is dirteeh..,negative
Went to mikey`s cousin`s wedding. His mom caught the bouquet.,neutral
 excellent good to see,positive
first trip home since diwali. But before that a couple of days in saddi dilli,neutral
" I don`t think any of what i just said it true, i just had a rant about mcfly, i cant belive i did that  i feel ashamed",negative
 haha you are just as bad as I am.... Well perhaps a little less retarded . I am attempting to knit myself gloves this winter,neutral
today was the BEST <3 eff yeah i <3 ,positive
 FRUITY PEBBLES?! What? Over Lucky Charms,neutral
 nice luke quote  goodluck on the test u have been dreading.,positive
"Christa`s Mothers Day card, deep in the build phase.   - Photo: http://bkite.com/07k6e",neutral
"  I always thought scuba diving would give me a entirely new perspective of the world, but too chicken to do it. can u help?",positive
"@_Janet_ ouch, I hate it when favourite items of clothing get ruined.",negative
_1990 i kno i came in coz the sun kept going behind the clouds but now it has come back  sat in my window now on the floor lol,neutral
" I know, the suns not even up and ive been up for an hr. Tossa decided to sleep ON my side and cold nose me.",neutral
 I have a FACEBOOK but I use MYSPACE and TWITTER the most. I hardly check my Facebook..,negative
 What happened?!,neutral
" Interesting... I never get to Etown, however.",positive
 Happy Birthday Mel. We miss you in the UK,neutral
hollie steel  bless her. but go dreambears <33333 hahahahaha,positive
I wanna see that movie 'Keith' with JMcCartney in it! It looks sooo good. But none of the video stores here carry it,neutral
is #6 seed in regionals!!,neutral
"Steve makes fruit smoothies for me each day & they are berry delicious, I made mine today & it was berry, berry bad",negative
Wishing everyone a Happy Mother`s Day.  xoxo,positive
Finally got my money. Too bad it goes to bills,negative
my feet are cold.....i hate when my feet get cold,negative
hahaha. tea at grandma`s was sweat. yep.,neutral
At the walnut high school prom with becca,neutral
i`m sickk  ... tomorrow will be a disaster if i don`t get better.,negative
" ..uuuups today is mother day???....sh***....iï¿½ve forgot it, my work doesnï¿½t have a end *sigh*....thank you for remind it",neutral
played okami for 14 hours today,neutral
"srsly, nobody evr reply`s 2 me.",negative
is waking up somewhat. go canucks!,neutral
 Ahaha!! I have all of your albums.  Each stuff of your music is so beautiful! That`s why I am so in love with them.,positive
"It`s 4pm Friday, he left at 6am Thursday.... surely he should be there now",neutral
  are you having a bad day?,neutral
