Emotion,Text
neutral," I`d have responded, if I were going"
negative, Sooo SAD I will miss you here in San Diego!!!
negative,my boss is bullying me...
negative, what interview! leave me alone
negative," Sons of ****, why couldn`t they put them on the releases we already bought"
neutral,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth
positive,2am feedings for the baby are fun when he is all smiles and coos
neutral,Soooo high
neutral, Both of you
positive, Journey!? Wow... u just became cooler.  hehe... (is that possible!?)
negative," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff"
positive,I really really like the song Love Story by Taylor Swift
neutral,My Sharpie is running DANGERously low on ink
negative,i want to go to music tonight but i lost my voice.
negative,test test from the LG enV2
negative,"Uh oh, I am sunburned"
neutral," S`ok, trying to plot alternatives as we speak *sigh*"
negative,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw"
negative,is back home now      gonna miss every one
neutral,Hes just not that into you
neutral," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3"
positive,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet
neutral,is cleaning the house for her family who is comming later today..
neutral,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness
neutral,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH
positive,"the free fillin` app on my ipod is fun, im addicted"
negative,  I`m sorry.
negative,On the way to Malaysia...no internet access to Twit
positive,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?
negative,Went to sleep and there is a power cut in Noida  Power back up not working too
positive,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?
positive,i hope unni will make the audition . fighting dahye unni !
negative, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.
positive, That`s very funny.  Cute kids.
neutral," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army."
neutral,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4"
negative,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY
neutral,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned"
negative,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....
positive,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day"
neutral," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting"
negative,im an avid fan of **** magazine and i love your magazines
neutral,MAYDAY?!
neutral,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"
negative, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½
neutral,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?
negative,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!
neutral,:visiting my friendster and facebook
positive,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more"
positive, which case? I got a new one last week and I`m not thrilled at all with mine.
neutral, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter
neutral," also bored at school, its my third freelesson( freistunde )"
neutral, hm... Both of us I guess...
negative, it is ****...u have dissappointed me that past few days
positive, romance zero is funny
neutral, I`d rather do the early run..but I am a morning runner
negative,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now
neutral,will be back later.  http://plurk.com/p/rp3k7
negative,Aw. Torn ace of hearts  #Hunchback
negative, what fun are you speaking of?
negative,"i lost all my friends, i`m alone and sleepy..i wanna go home"
neutral, haha yes
negative,I give in to easily
positive,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red
neutral,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR
neutral,Is at a photoshoot.
positive,  He`s awesome... Have you worked with him before? He`s a good friend.
positive,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing
neutral,Chilliin
neutral," If you know such agent, do let me know"
positive,I still smell of smoke  #kitchenfire
neutral, a celtics-lakers rematch sounds better don`t you think? lol
neutral,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc"
neutral,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?"
negative, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no
neutral,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight
neutral,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD."
neutral, My sources say no
neutral,I am sooo tired
neutral," Hey, you change your twitter account, and you didn`t even tell me..."
positive, THANK YYYYYYYYYOOOOOOOOOOUUUUU!
positive, lucky kid...i so wanna see loserville  pity im in oz....
neutral,fell asleep waiting for my ride!
negative,Sick. With a flu like thing.
negative,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys"
positive,Happy Star Wars day everyone! and Enjoy the holiday (UK)
negative, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.
positive,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him."
negative,i miss you bby      wish you were going tomorrow to make me do good.
neutral, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded
positive, SWEEEEET - San Fran is awesome!!!!  Love it there
neutral,_Mounce yes and it lasts way past my bedtime!
positive, Hi  how are you doing ???  *just joined twitter...*
negative,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow
neutral,eating ice cream and then getting ready for graduation.
neutral,Happy Mothers day to all you Mums out there
negative," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?"
neutral, hemp cloth is marvelous but unfortunately no
neutral,Gonna read a story bout adam lambert online then bed. Nighty night
positive, We saw that in none 3D - the baddie`s the best
positive,4am. And Im on the beach. Pretty
negative," Certainly not Cheers than, huh?"
negative,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!"
negative,i realy wanted to go out cause its so nice but everybodys busy
neutral, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.
neutral,at least I get to watch over time  Let`s go Pens!!
neutral, cool i wear black most of the time when i go out
positive, haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****
positive, have a safe trip joshy poo.......you`ll knock them dead at your speech
positive," woof, I wish I was allowed to go"
positive,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment
neutral,  has tickets.......?
positive,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!"
neutral, ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?
neutral,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us"
negative,So many tests todayyy  I don`t feel confident about anyy.
negative,graduation is done  im a little sad.. anyone want to hang out???
positive, hahaa your awesomee !
positive,holy smokes! star trek was freaking awesomeeeee
positive,"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it."
neutral," I had it! On my itunes, but then I lost all my songs."
neutral,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha
negative,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours"
negative," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!"
negative,not well
neutral, Not a prob hun
neutral,"at dads, watching some mtv and am going on sims2 in a minutee"
neutral, Absolutely
positive, what`s the matter chickadee?
positive, hey mia!  totally adore your music.  when will your cd be out?
positive,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless"
positive, =O you need to ask him something? Lmao I love him too
negative, those splinters look very painful...but you were being very heroic saving mr. Pickle
negative, why are you sad?
positive, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom
neutral,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....
neutral, Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !
neutral," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it."
neutral,Humous and Dorito`s.... Oh yes
negative,"missed all the awesome weather, because she was in a movie!"
positive,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink
negative,"These kids are terrible! If I was in Good Evans, I`d call Childline"
negative,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!"
negative," What`s sad is that I actually had to google that term. That sucks, tho."
negative,Hate fighting
neutral," I watched that too!!! I didnt want her to win, but she put up a good fight..lol"
negative,Car-warmed Sprite tastes like sore throat
neutral,Just came 11th in cross country and beat dumbo
positive,Candle wax is very enjoyable.
positive," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her"
neutral,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it
positive,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?
negative, me too. I hate my computer so much..
positive, fine! Going to do my big walk today 20 or so miles
negative,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!
neutral,Mmmmmmmm... ? it in the morning
neutral, me neither
neutral,"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah"
negative,Bugger. forgot I still have washing in my machine
